Site_ID,Class_Name,End_Date,Start_Time,Capacity,Booked,Price_INR,End_DateTime,Weekday,Hour,Capacity_Utilization,Revenue,MaxBookes,Dataset
SBP,20-20-20 9.30-10.30am,9-May-18,9:30:00,35,13,499.0,2018-05-09,Wednesday,9,37.14,6487.0,35,Train
SBP,20-20-20 9.30-10.30am,16-May-18,9:30:00,35,11,499.0,2018-05-16,Wednesday,9,31.43,5489.0,35,Train
SBP,20-20-20 9.30-10.30am,23-May-18,9:30:00,35,14,499.0,2018-05-23,Wednesday,9,40.0,6986.0,35,Train
SBP,20-20-20 9.30-10.30am,30-May-18,9:30:00,35,7,499.0,2018-05-30,Wednesday,9,20.0,3493.0,35,Train
BRP,20:20:20  10-11 Am,3-Apr-18,10:00:00,35,32,499.0,2018-04-03,Tuesday,10,91.43,15968.0,35,Train
BRP,20:20:20  10-11 Am,10-Apr-18,10:00:00,35,26,499.0,2018-04-10,Tuesday,10,74.29,12974.0,35,Train
BRP,20:20:20  10-11 Am,17-Apr-18,10:00:00,35,24,499.0,2018-04-17,Tuesday,10,68.57,11976.0,35,Train
BRP,20:20:20  10-11 Am,24-Apr-18,10:00:00,35,23,499.0,2018-04-24,Tuesday,10,65.71,11477.0,35,Train
BRP,20:20:20  10-11 Am,1-May-18,10:00:00,35,22,499.0,2018-05-01,Tuesday,10,62.86,10978.0,35,Train
BRP,20:20:20  10-11 Am,8-May-18,10:00:00,35,30,499.0,2018-05-08,Tuesday,10,85.71,14970.0,35,Train
BRP,20:20:20  10-11 Am,15-May-18,10:00:00,35,18,499.0,2018-05-15,Tuesday,10,51.43,8982.0,35,Train
BRP,20:20:20  10-11 Am,22-May-18,10:00:00,35,24,499.0,2018-05-22,Tuesday,10,68.57,11976.0,35,Train
BRP,20:20:20  10-11 Am,29-May-18,10:00:00,35,28,499.0,2018-05-29,Tuesday,10,80.0,13972.0,35,Train
BRP,20:20:20  10.00-11.00am,5-Apr-18,10:00:00,35,25,499.0,2018-04-05,Thursday,10,71.43,12475.0,35,Train
BRP,20:20:20  10.00-11.00am,12-Apr-18,10:00:00,35,23,499.0,2018-04-12,Thursday,10,65.71,11477.0,35,Train
BRP,20:20:20  10.00-11.00am,19-Apr-18,10:00:00,35,21,499.0,2018-04-19,Thursday,10,60.0,10479.0,35,Train
BRP,20:20:20  10.00-11.00am,26-Apr-18,10:00:00,35,29,499.0,2018-04-26,Thursday,10,82.86,14471.0,35,Train
BRP,20:20:20  10.00-11.00am,3-May-18,10:00:00,35,20,499.0,2018-05-03,Thursday,10,57.14,9980.0,35,Train
BRP,20:20:20  10.00-11.00am,10-May-18,10:00:00,35,24,499.0,2018-05-10,Thursday,10,68.57,11976.0,35,Train
BRP,20:20:20  10.00-11.00am,17-May-18,10:00:00,35,29,499.0,2018-05-17,Thursday,10,82.86,14471.0,35,Train
BRP,20:20:20  10.00-11.00am,31-May-18,10:00:00,35,14,499.0,2018-05-31,Thursday,10,40.0,6986.0,35,Train
HXP,20:20:20  11am -12noon,7-Apr-18,11:00:00,25,10,499.0,2018-04-07,Saturday,11,40.0,4990.0,25,Train
HXP,20:20:20  11am -12noon,14-Apr-18,11:00:00,25,10,499.0,2018-04-14,Saturday,11,40.0,4990.0,25,Train
HXP,20:20:20  11am -12noon,28-Apr-18,11:00:00,25,11,499.0,2018-04-28,Saturday,11,44.0,5489.0,25,Train
HXP,20:20:20  11am -12noon,5-May-18,11:00:00,25,13,499.0,2018-05-05,Saturday,11,52.0,6487.0,25,Train
HXP,20:20:20  11am -12noon,12-May-18,11:00:00,25,16,499.0,2018-05-12,Saturday,11,64.0,7984.0,25,Train
HXP,20:20:20  11am -12noon,19-May-18,11:00:00,25,10,499.0,2018-05-19,Saturday,11,40.0,4990.0,25,Train
HXP,20:20:20  11am -12noon,26-May-18,11:00:00,25,6,499.0,2018-05-26,Saturday,11,24.0,2994.0,25,Train
BRP,20:20:20  9.30-10.30am,6-Apr-18,9:30:00,35,26,499.0,2018-04-06,Friday,9,74.29,12974.0,35,Train
BRP,20:20:20  9.30-10.30am,13-Apr-18,9:30:00,35,20,499.0,2018-04-13,Friday,9,57.14,9980.0,35,Train
BRP,20:20:20  9.30-10.30am,20-Apr-18,9:30:00,35,30,499.0,2018-04-20,Friday,9,85.71,14970.0,35,Train
BRP,20:20:20  9.30-10.30am,27-Apr-18,9:30:00,35,27,499.0,2018-04-27,Friday,9,77.14,13473.0,35,Train
BRP,20:20:20  9.30-10.30am,4-May-18,9:30:00,35,33,499.0,2018-05-04,Friday,9,94.29,16467.0,35,Train
BRP,20:20:20  9.30-10.30am,11-May-18,9:30:00,35,34,499.0,2018-05-11,Friday,9,97.14,16966.0,35,Train
BRP,20:20:20  9.30-10.30am,18-May-18,9:30:00,35,32,499.0,2018-05-18,Friday,9,91.43,15968.0,35,Train
BRP,20:20:20  9.30-10.30am,25-May-18,9:30:00,35,29,499.0,2018-05-25,Friday,9,82.86,14471.0,35,Train
NBL,20:20:20 9.30-10.30am,5-Apr-18,9:30:00,60,22,499.0,2018-04-05,Thursday,9,36.67,10978.0,60,Train
NBL,20:20:20 9.30-10.30am,19-Apr-18,9:30:00,60,14,499.0,2018-04-19,Thursday,9,23.33,6986.0,60,Train
NBL,20:20:20 9.30-10.30am,26-Apr-18,9:30:00,60,14,499.0,2018-04-26,Thursday,9,23.33,6986.0,60,Train
NBL,20:20:20 9.30-10.30am,3-May-18,9:30:00,60,16,499.0,2018-05-03,Thursday,9,26.67,7984.0,60,Train
NBL,20:20:20 9.30-10.30am,10-May-18,9:30:00,60,14,499.0,2018-05-10,Thursday,9,23.33,6986.0,60,Train
NBL,20:20:20 9.30-10.30am,17-May-18,9:30:00,60,14,499.0,2018-05-17,Thursday,9,23.33,6986.0,60,Train
NBL,20:20:20 9.30-10.30am,24-May-18,9:30:00,60,18,499.0,2018-05-24,Thursday,9,30.0,8982.0,60,Train
NBL,20:20:20 9.30-10.30am,31-May-18,9:30:00,60,24,499.0,2018-05-31,Thursday,9,40.0,11976.0,60,Train
SBP,45min Madness 9.15-10am,3-Apr-18,9:15:00,35,11,1499.0,2018-04-03,Tuesday,9,31.43,16489.0,35,Train
SBP,45min Madness 9.15-10am,10-Apr-18,9:15:00,35,19,1499.0,2018-04-10,Tuesday,9,54.29,28481.0,35,Train
SBP,45min Madness 9.15-10am,17-Apr-18,9:15:00,35,19,1499.0,2018-04-17,Tuesday,9,54.29,28481.0,35,Train
SBP,45min Madness 9.15-10am,24-Apr-18,9:15:00,35,21,1499.0,2018-04-24,Tuesday,9,60.0,31479.0,35,Train
SBP,45min Madness 9.15-10am,1-May-18,9:15:00,35,18,1499.0,2018-05-01,Tuesday,9,51.43,26982.0,35,Train
SBP,45min Madness 9.15-10am,8-May-18,9:15:00,35,15,1499.0,2018-05-08,Tuesday,9,42.86,22485.0,35,Train
SBP,45min Madness 9.15-10am,15-May-18,9:15:00,35,19,1499.0,2018-05-15,Tuesday,9,54.29,28481.0,35,Train
SBP,45min Madness 9.15-10am,22-May-18,9:15:00,35,18,1499.0,2018-05-22,Tuesday,9,51.43,26982.0,35,Train
SBP,45min Madness 9.15-10am,29-May-18,9:15:00,35,12,1499.0,2018-05-29,Tuesday,9,34.29,17988.0,35,Train
SBP,Abs Blast 7.45-8.15am,3-Apr-18,7:45:00,20,4,999.0,2018-04-03,Tuesday,7,20.0,3996.0,20,Train
SBP,Abs Blast 7.45-8.15am,10-Apr-18,7:45:00,20,1,999.0,2018-04-10,Tuesday,7,5.0,999.0,20,Train
SBP,Abs Blast 7.45-8.15am,17-Apr-18,7:45:00,20,2,999.0,2018-04-17,Tuesday,7,10.0,1998.0,20,Train
SBP,Abs Blast 7.45-8.15am,24-Apr-18,7:45:00,20,1,999.0,2018-04-24,Tuesday,7,5.0,999.0,20,Train
SBP,Abs Blast 7.45-8.15am,1-May-18,7:45:00,20,2,999.0,2018-05-01,Tuesday,7,10.0,1998.0,20,Train
SBP,Abs Blast 7.45-8.15am,8-May-18,7:45:00,20,2,999.0,2018-05-08,Tuesday,7,10.0,1998.0,20,Train
SBP,Abs Blast 7.45-8.15am,15-May-18,7:45:00,20,2,999.0,2018-05-15,Tuesday,7,10.0,1998.0,20,Train
SBP,Abs Blast 7.45-8.15am,22-May-18,7:45:00,20,2,999.0,2018-05-22,Tuesday,7,10.0,1998.0,20,Train
SBP,Abs Blast 7.45-8.15am,29-May-18,7:45:00,20,2,999.0,2018-05-29,Tuesday,7,10.0,1998.0,20,Train
BRP,Aerobics,3-Apr-18,19:30:00,35,24,799.0,2018-04-03,Tuesday,19,68.57,19176.0,35,Train
BRP,Aerobics,10-Apr-18,19:30:00,35,17,799.0,2018-04-10,Tuesday,19,48.57,13583.0,35,Train
BRP,Aerobics,17-Apr-18,19:30:00,35,27,799.0,2018-04-17,Tuesday,19,77.14,21573.0,35,Train
BRP,Aerobics,24-Apr-18,19:30:00,35,21,799.0,2018-04-24,Tuesday,19,60.0,16779.0,35,Train
BRP,Aerobics,1-May-18,19:30:00,35,23,799.0,2018-05-01,Tuesday,19,65.71,18377.0,35,Train
BRP,Aerobics,8-May-18,19:30:00,35,29,799.0,2018-05-08,Tuesday,19,82.86,23171.0,35,Train
BRP,Aerobics,15-May-18,19:30:00,35,23,799.0,2018-05-15,Tuesday,19,65.71,18377.0,35,Train
BRP,Aerobics,22-May-18,19:30:00,35,28,799.0,2018-05-22,Tuesday,19,80.0,22372.0,35,Train
BRP,Aerobics,29-May-18,19:30:00,35,24,799.0,2018-05-29,Tuesday,19,68.57,19176.0,35,Train
SBP,Aerobics,18-May-18,10:00:00,35,30,799.0,2018-05-18,Friday,10,85.71,23970.0,35,Train
BRP,Aerobics 6.00-7.00pm,9-Apr-18,18:00:00,35,32,799.0,2018-04-09,Monday,18,91.43,25568.0,35,Train
BRP,Aerobics 6.00-7.00pm,16-Apr-18,18:00:00,35,35,799.0,2018-04-16,Monday,18,100.0,27965.0,35,Train
BRP,Aerobics 6.00-7.00pm,23-Apr-18,18:00:00,35,32,799.0,2018-04-23,Monday,18,91.43,25568.0,35,Train
BRP,Aerobics 6.00-7.00pm,30-Apr-18,18:00:00,35,33,799.0,2018-04-30,Monday,18,94.29,26367.0,35,Train
BRP,Aerobics 6.00-7.00pm,14-May-18,18:00:00,35,28,799.0,2018-05-14,Monday,18,80.0,22372.0,35,Train
BRP,Aerobics 6.00-7.00pm,21-May-18,18:00:00,35,31,799.0,2018-05-21,Monday,18,88.57,24769.0,35,Train
SBP,Aqua Babies 12 -12.30am,16-Apr-18,12:00:00,10,11,1499.0,2018-04-16,Monday,12,110.0,16489.0,10,Train
SBP,Aqua Babies 12 -12.30am,23-Apr-18,12:00:00,10,3,1499.0,2018-04-23,Monday,12,30.0,4497.0,10,Train
SBP,Aqua Babies 12 -12.30am,30-Apr-18,12:00:00,10,3,1499.0,2018-04-30,Monday,12,30.0,4497.0,10,Train
SBP,Aqua Babies 12 -12.30am,14-May-18,12:00:00,10,7,1499.0,2018-05-14,Monday,12,70.0,10493.0,10,Train
SBP,Aqua Babies 12 -12.30am,21-May-18,12:00:00,10,7,1499.0,2018-05-21,Monday,12,70.0,10493.0,10,Train
SBP,Aqua Babies 9.30-10.00am,6-Apr-18,9:30:00,10,6,1499.0,2018-04-06,Friday,9,60.0,8994.0,10,Train
SBP,Aqua Babies 9.30-10.00am,13-Apr-18,9:30:00,10,4,1499.0,2018-04-13,Friday,9,40.0,5996.0,10,Train
SBP,Aqua Babies 9.30-10.00am,20-Apr-18,9:30:00,10,7,1499.0,2018-04-20,Friday,9,70.0,10493.0,10,Train
SBP,Aqua Babies 9.30-10.00am,27-Apr-18,9:30:00,10,5,1499.0,2018-04-27,Friday,9,50.0,7495.0,10,Train
SBP,Aqua Babies 9.30-10.00am,4-May-18,9:30:00,10,6,1499.0,2018-05-04,Friday,9,60.0,8994.0,10,Train
SBP,Aqua Babies 9.30-10.00am,11-May-18,9:30:00,10,5,1499.0,2018-05-11,Friday,9,50.0,7495.0,10,Train
SBP,Aqua Babies 9.30-10.00am,18-May-18,9:30:00,10,10,1499.0,2018-05-18,Friday,9,100.0,14990.0,10,Train
SBP,Aqua Fit 11.15-12.00,9-Apr-18,11:15:00,35,33,999.0,2018-04-09,Monday,11,94.29,32967.0,35,Train
SBP,Aqua Fit 11.15-12.00,16-Apr-18,11:15:00,35,32,999.0,2018-04-16,Monday,11,91.43,31968.0,35,Train
SBP,Aqua Fit 11.15-12.00,23-Apr-18,11:15:00,35,35,999.0,2018-04-23,Monday,11,100.0,34965.0,35,Train
SBP,Aqua Fit 11.15-12.00,30-Apr-18,11:15:00,35,31,999.0,2018-04-30,Monday,11,88.57,30969.0,35,Train
SBP,Aqua Fit 11.15-12.00,14-May-18,11:15:00,35,34,999.0,2018-05-14,Monday,11,97.14,33966.0,35,Train
SBP,Aqua Fit 11.15-12.00,21-May-18,11:15:00,35,33,999.0,2018-05-21,Monday,11,94.29,32967.0,35,Train
HXP,Aqua Fit 12.15 -13.15,5-Apr-18,12:15:00,25,13,999.0,2018-04-05,Thursday,12,52.0,12987.0,25,Train
HXP,Aqua Fit 12.15 -13.15,6-Apr-18,12:15:00,25,16,999.0,2018-04-06,Friday,12,64.0,15984.0,25,Train
HXP,Aqua Fit 12.15 -13.15,12-Apr-18,12:15:00,25,19,999.0,2018-04-12,Thursday,12,76.0,18981.0,25,Train
HXP,Aqua Fit 12.15 -13.15,13-Apr-18,12:15:00,25,10,999.0,2018-04-13,Friday,12,40.0,9990.0,25,Train
HXP,Aqua Fit 12.15 -13.15,19-Apr-18,12:15:00,25,16,999.0,2018-04-19,Thursday,12,64.0,15984.0,25,Train
HXP,Aqua Fit 12.15 -13.15,20-Apr-18,12:15:00,25,13,999.0,2018-04-20,Friday,12,52.0,12987.0,25,Train
HXP,Aqua Fit 12.15 -13.15,26-Apr-18,12:15:00,25,16,999.0,2018-04-26,Thursday,12,64.0,15984.0,25,Train
HXP,Aqua Fit 12.15 -13.15,27-Apr-18,12:15:00,25,12,999.0,2018-04-27,Friday,12,48.0,11988.0,25,Train
HXP,Aqua Fit 12.15 -13.15,3-May-18,12:15:00,25,13,999.0,2018-05-03,Thursday,12,52.0,12987.0,25,Train
HXP,Aqua Fit 12.15 -13.15,4-May-18,12:15:00,25,13,999.0,2018-05-04,Friday,12,52.0,12987.0,25,Train
HXP,Aqua Fit 12.15 -13.15,10-May-18,12:15:00,25,13,999.0,2018-05-10,Thursday,12,52.0,12987.0,25,Train
HXP,Aqua Fit 12.15 -13.15,11-May-18,12:15:00,25,4,999.0,2018-05-11,Friday,12,16.0,3996.0,25,Train
HXP,Aqua Fit 12.15 -13.15,18-May-18,12:15:00,25,11,999.0,2018-05-18,Friday,12,44.0,10989.0,25,Train
HXP,Aqua Fit 12.15 -13.15,24-May-18,12:15:00,25,13,999.0,2018-05-24,Thursday,12,52.0,12987.0,25,Train
HXP,Aqua Fit 12.15 -13.15,25-May-18,12:15:00,25,14,999.0,2018-05-25,Friday,12,56.0,13986.0,25,Train
HXP,Aqua Fit 12.15-13.00,2-Apr-18,12:15:00,25,11,999.0,2018-04-02,Monday,12,44.0,10989.0,25,Train
HXP,Aqua Fit 12.15-13.00,9-Apr-18,12:15:00,25,17,999.0,2018-04-09,Monday,12,68.0,16983.0,25,Train
HXP,Aqua Fit 12.15-13.00,16-Apr-18,12:15:00,25,17,999.0,2018-04-16,Monday,12,68.0,16983.0,25,Train
HXP,Aqua Fit 12.15-13.00,23-Apr-18,12:15:00,25,22,999.0,2018-04-23,Monday,12,88.0,21978.0,25,Train
HXP,Aqua Fit 12.15-13.00,30-Apr-18,12:15:00,25,21,999.0,2018-04-30,Monday,12,84.0,20979.0,25,Train
HXP,Aqua Fit 12.15-13.00,7-May-18,12:15:00,25,6,999.0,2018-05-07,Monday,12,24.0,5994.0,25,Train
HXP,Aqua Fit 12.15-13.00,14-May-18,12:15:00,25,11,999.0,2018-05-14,Monday,12,44.0,10989.0,25,Train
HXP,Aqua Fit 12.15-13.00,21-May-18,12:15:00,25,14,999.0,2018-05-21,Monday,12,56.0,13986.0,25,Train
HXP,Aqua Fit 12.15-13.00,28-May-18,12:15:00,25,7,999.0,2018-05-28,Monday,12,28.0,6993.0,25,Train
BRP,Aqua Fit 2.45 -3.45pm,4-Apr-18,14:45:00,35,24,999.0,2018-04-04,Wednesday,14,68.57,23976.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,11-Apr-18,14:45:00,35,32,999.0,2018-04-11,Wednesday,14,91.43,31968.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,18-Apr-18,14:45:00,35,29,999.0,2018-04-18,Wednesday,14,82.86,28971.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,25-Apr-18,14:45:00,35,25,999.0,2018-04-25,Wednesday,14,71.43,24975.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,2-May-18,14:45:00,35,28,999.0,2018-05-02,Wednesday,14,80.0,27972.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,9-May-18,14:45:00,35,27,999.0,2018-05-09,Wednesday,14,77.14,26973.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,16-May-18,14:45:00,35,16,999.0,2018-05-16,Wednesday,14,45.71,15984.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,23-May-18,14:45:00,35,20,999.0,2018-05-23,Wednesday,14,57.14,19980.0,35,Train
BRP,Aqua Fit 2.45 -3.45pm,30-May-18,14:45:00,35,23,999.0,2018-05-30,Wednesday,14,65.71,22977.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,3-Apr-18,15:00:00,35,29,999.0,2018-04-03,Tuesday,15,82.86,28971.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,10-Apr-18,15:00:00,35,17,999.0,2018-04-10,Tuesday,15,48.57,16983.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,17-Apr-18,15:00:00,35,14,999.0,2018-04-17,Tuesday,15,40.0,13986.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,24-Apr-18,15:00:00,35,20,999.0,2018-04-24,Tuesday,15,57.14,19980.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,1-May-18,15:00:00,35,23,999.0,2018-05-01,Tuesday,15,65.71,22977.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,8-May-18,15:00:00,35,17,999.0,2018-05-08,Tuesday,15,48.57,16983.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,15-May-18,15:00:00,35,18,999.0,2018-05-15,Tuesday,15,51.43,17982.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,22-May-18,15:00:00,35,21,999.0,2018-05-22,Tuesday,15,60.0,20979.0,35,Train
SBP,Aqua Fit 3.00-3.50pm,29-May-18,15:00:00,35,23,999.0,2018-05-29,Tuesday,15,65.71,22977.0,35,Train
HXP,Aqua Fit 4pm - 5pm,22-Apr-18,16:00:00,25,20,999.0,2018-04-22,Sunday,16,80.0,19980.0,25,Train
HXP,Aqua Fit 4pm - 5pm,29-Apr-18,16:00:00,25,13,999.0,2018-04-29,Sunday,16,52.0,12987.0,25,Train
HXP,Aqua Fit 4pm - 5pm,13-May-18,16:00:00,25,10,999.0,2018-05-13,Sunday,16,40.0,9990.0,25,Train
HXP,Aqua Fit 4pm - 5pm,20-May-18,16:00:00,25,5,999.0,2018-05-20,Sunday,16,20.0,4995.0,25,Train
HXP,Aqua Fit 4pm - 5pm,27-May-18,16:00:00,25,11,999.0,2018-05-27,Sunday,16,44.0,10989.0,25,Train
SBP,Aqua Tots & Babies 10.30-,6-Apr-18,10:30:00,10,2,1499.0,2018-04-06,Friday,10,20.0,2998.0,10,Train
SBP,Aqua Tots & Babies 10.30-,13-Apr-18,10:30:00,10,6,1499.0,2018-04-13,Friday,10,60.0,8994.0,10,Train
SBP,Aqua Tots & Babies 10.30-,20-Apr-18,10:30:00,10,5,1499.0,2018-04-20,Friday,10,50.0,7495.0,10,Train
SBP,Aqua Tots & Babies 10.30-,27-Apr-18,10:30:00,10,9,1499.0,2018-04-27,Friday,10,90.0,13491.0,10,Train
SBP,Aqua Tots & Babies 10.30-,4-May-18,10:30:00,10,5,1499.0,2018-05-04,Friday,10,50.0,7495.0,10,Train
SBP,Aqua Tots & Babies 10.30-,11-May-18,10:30:00,10,8,1499.0,2018-05-11,Friday,10,80.0,11992.0,10,Train
SBP,Aqua Tots & Babies 10.30-,18-May-18,10:30:00,10,4,1499.0,2018-05-18,Friday,10,40.0,5996.0,10,Train
BRP,Aqua Tots 10 -10.30am,7-Apr-18,10:00:00,10,9,999.0,2018-04-07,Saturday,10,90.0,8991.0,10,Train
BRP,Aqua Tots 10 -10.30am,14-Apr-18,10:00:00,10,10,999.0,2018-04-14,Saturday,10,100.0,9990.0,10,Train
BRP,Aqua Tots 10 -10.30am,21-Apr-18,10:00:00,10,10,999.0,2018-04-21,Saturday,10,100.0,9990.0,10,Train
BRP,Aqua Tots 10 -10.30am,28-Apr-18,10:00:00,10,10,999.0,2018-04-28,Saturday,10,100.0,9990.0,10,Train
BRP,Aqua Tots 10 -10.30am,5-May-18,10:00:00,10,10,999.0,2018-05-05,Saturday,10,100.0,9990.0,10,Train
BRP,Aqua Tots 10 -10.30am,12-May-18,10:00:00,10,9,999.0,2018-05-12,Saturday,10,90.0,8991.0,10,Train
BRP,Aqua Tots 10 -10.30am,19-May-18,10:00:00,10,10,999.0,2018-05-19,Saturday,10,100.0,9990.0,10,Train
BRP,Aqua Tots 10 -10.30am,26-May-18,10:00:00,10,7,999.0,2018-05-26,Saturday,10,70.0,6993.0,10,Train
SBP,Aqua Tots 10.00-10.30am,6-Apr-18,10:00:00,10,2,999.0,2018-04-06,Friday,10,20.0,1998.0,10,Train
SBP,Aqua Tots 10.00-10.30am,13-Apr-18,10:00:00,10,2,999.0,2018-04-13,Friday,10,20.0,1998.0,10,Train
SBP,Aqua Tots 10.00-10.30am,20-Apr-18,10:00:00,10,5,999.0,2018-04-20,Friday,10,50.0,4995.0,10,Train
SBP,Aqua Tots 10.00-10.30am,27-Apr-18,10:00:00,10,7,999.0,2018-04-27,Friday,10,70.0,6993.0,10,Train
SBP,Aqua Tots 10.00-10.30am,4-May-18,10:00:00,10,8,999.0,2018-05-04,Friday,10,80.0,7992.0,10,Train
SBP,Aqua Tots 10.00-10.30am,11-May-18,10:00:00,10,7,999.0,2018-05-11,Friday,10,70.0,6993.0,10,Train
SBP,Aqua Tots 10.00-10.30am,18-May-18,10:00:00,10,4,999.0,2018-05-18,Friday,10,40.0,3996.0,10,Train
BRP,Aqua Tots 11.00-11.30am,4-Apr-18,11:00:00,10,2,999.0,2018-04-04,Wednesday,11,20.0,1998.0,10,Train
BRP,Aqua Tots 11.00-11.30am,11-Apr-18,11:00:00,10,4,999.0,2018-04-11,Wednesday,11,40.0,3996.0,10,Train
BRP,Aqua Tots 11.00-11.30am,18-Apr-18,11:00:00,10,5,999.0,2018-04-18,Wednesday,11,50.0,4995.0,10,Train
BRP,Aqua Tots 11.00-11.30am,25-Apr-18,11:00:00,10,6,999.0,2018-04-25,Wednesday,11,60.0,5994.0,10,Train
BRP,Aqua Tots 11.00-11.30am,2-May-18,11:00:00,10,6,999.0,2018-05-02,Wednesday,11,60.0,5994.0,10,Train
